25,11,87,123
93,2,14,109
96,91,50,237
22,99,12,133
40,83,69,192
45,81,17,143
46,7,49,102
60,15,11,86
70,30,12,112
9,55,52,116
63,29,83,175
67,33,16,116
84,30,18,132
21,47,27,95
97,48,22,167
52,42,29,123
61,70,95,226
33,67,63,163
39,39,99,177
57,50,3,110
84,70,69,223
94,71,83,248
54,63,53,170
49,36,86,171
52,45,76,173
99,5,42,146
16,82,66,164
9,61,47,117
86,99,87,272
30,5,21,56
45,54,49,148
63,25,54,142
57,81,55,193
65,14,52,131
59,75,41,175
4,70,29,103
57,48,23,128
7,81,49,137
46,16,60,122
49,43,89,181
61,6,31,98
17,73,47,137
51,15,37,103
99,69,22,190
4,54,100,158
91,11,38,140
16,80,9,105
67,6,29,102
84,79,14,177
60,51,7,118
22,85,45,152
94,83,67,244
34,38,41,113
9,42,5,56
2,42,36,80
85,4,77,166
11,21,70,102
37,37,93,167
73,7,21,101
53,74,44,171
56,71,77,204
72,73,92,237
68,33,49,150
29,26,40,95
96,24,32,152
47,66,15,128
85,18,18,121
69,87,24,180
75,90,39,204
62,12,96,170
59,18,60,137
93,38,15,146
7,71,60,138
74,24,24,122
52,62,96,210
6,37,6,49
99,61,75,235
45,7,30,82
75,44,69,188
57,49,55,161
77,3,29,109
82,18,7,107
47,38,12,97
34,38,52,124
75,45,34,154
12,61,8,81
43,34,23,100
72,45,69,186
10,19,92,121
63,48,70,181
76,70,10,156
18,78,23,119
84,19,52,155
44,93,5,142
79,58,48,185
40,41,53,134
57,37,52,146
8,59,50,117
50,46,76,172
8,75,68,151
51,34,29,114
27,23,6,56
61,41,49,151
18,21,61,100
31,80,22,133
76,28,86,190
50,28,53,131
34,34,18,86
45,31,82,158
58,93,72,223
12,67,61,140
17,77,24,118
88,71,30,189
75,97,70,242
24,2,73,99
61,70,61,192
59,24,18,101
64,29,99,192
95,3,45,143
15,63,75,153
71,17,78,166
80,80,85,245
51,80,59,190
86,12,55,153
53,87,2,142
44,25,51,120
64,52,87,203
8,44,1,53
45,28,7,80
99,33,66,198
6,58,10,74
23,82,45,150
22,53,37,112
15,44,8,67
69,63,54,186
72,63,70,205
88,52,9,149
22,59,15,96
13,11,58,82
66,62,37,165
28,13,53,94
33,63,72,168
19,85,24,128
66,19,88,173
100,5,47,152
7,30,21,58
38,13,33,84
74,79,71,224
43,89,92,224
3,71,95,169
81,32,89,202
60,100,87,247
54,21,91,166
88,44,72,204
3,78,80,161
68,40,50,158
100,23,53,176
71,16,59,146
42,26,19,87
66,60,44,170
15,30,5,50
92,38,41,171
79,98,67,244
100,84,90,274
96,32,9,137
100,17,54,171
79,89,74,242
75,28,91,194
33,98,14,145
99,28,36,163
42,83,11,136
44,4,46,94
63,23,15,101
53,18,93,164
82,94,88,264
2,46,36,84
34,70,20,124
32,41,76,149
12,26,42,80
37,55,30,122
16,61,66,143
44,16,22,82
22,71,12,105
97,22,8,127
92,87,2,181
78,58,44,180
8,22,73,103
39,96,46,181
82,77,75,234
35,99,56,190
10,84,7,101
13,99,67,179
68,58,7,133
20,26,47,93
34,72,93,199
8,62,58,128
78,59,67,204
3,46,2,51
61,49,37,147
90,52,26,168
58,96,67,221
9,5,61,75
60,6,3,69
14,25,9,48
94,84,9,187
29,15,69,113
14,51,53,118
62,97,78,237
51,79,7,137
55,18,94,167
99,57,4,160
